time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city
2023-03-08,-2.3,-6.5,3.4,,,183.0,15.6,,1001.2,,krasnoyarsk
2023-03-09,-8.6,-16.8,-3.2,,,258.0,18.1,,1023.2,,krasnoyarsk
2023-03-10,-16.0,-25.0,-8.5,,,179.0,5.5,,1042.6,,krasnoyarsk
2023-03-11,-3.3,-10.8,5.5,,,182.0,12.1,,1029.1,,krasnoyarsk
2023-03-12,0.4,-2.9,4.2,,,215.0,17.6,,1009.1,,krasnoyarsk
2023-03-13,-4.3,-8.5,-0.3,,,250.0,20.1,,1029.5,,krasnoyarsk
2023-03-14,-2.4,-4.1,0.9,,,231.0,12.2,,1031.5,,krasnoyarsk
2023-03-15,-2.5,-8.1,3.3,,,110.0,5.9,,1028.3,,krasnoyarsk
2023-03-16,-3.3,-11.0,5.5,,,88.0,5.0,,1024.8,,krasnoyarsk
2023-03-17,-1.3,-8.9,8.2,,,239.0,3.1,,1025.1,,krasnoyarsk
2023-03-18,0.7,-8.2,9.6,,,223.0,9.1,,1019.3,,krasnoyarsk
2023-03-19,0.9,-5.7,6.8,,,235.0,15.7,,1007.6,,krasnoyarsk
2023-03-20,-12.4,-17.0,-7.2,,,279.0,12.8,,1026.8,,krasnoyarsk
2023-03-21,-14.2,-22.0,-6.7,,,163.0,6.4,,1033.1,,krasnoyarsk
2023-03-22,-12.3,-20.8,-4.0,,,131.0,4.8,,1034.1,,krasnoyarsk
2023-03-23,-8.7,-18.8,0.4,,,124.0,6.2,,1026.6,,krasnoyarsk
2023-03-24,-2.4,-9.2,4.5,,,203.0,9.6,,1019.6,,krasnoyarsk
2023-03-25,1.9,-2.8,7.1,,,216.0,15.4,,1018.7,,krasnoyarsk
2023-03-26,5.5,-0.6,11.6,,,215.0,16.5,,1014.7,,krasnoyarsk
2023-03-27,7.1,4.9,8.9,,,228.0,17.5,,1011.3,,krasnoyarsk
2023-03-28,5.7,2.5,9.4,,,233.0,15.3,,1018.4,,krasnoyarsk
2023-03-29,9.9,5.3,16.1,,,217.0,15.4,,1012.0,,krasnoyarsk
2023-03-30,-1.4,-9.7,7.0,,,305.0,12.1,,1010.0,,krasnoyarsk
2023-03-31,-9.9,-13.5,-6.3,,,284.0,11.0,,1028.7,,krasnoyarsk
2023-04-01,-12.5,-18.1,-6.9,,,321.0,6.4,,1043.2,,krasnoyarsk
2023-04-02,-11.9,-22.9,-2.8,,,182.0,4.3,,1044.6,,krasnoyarsk
2023-04-03,-2.7,-9.3,4.1,,,213.0,15.5,,1033.4,,krasnoyarsk
2023-04-04,1.4,-2.4,3.8,,,248.0,15.9,,1027.7,,krasnoyarsk
2023-04-05,-4.9,-13.3,1.8,,,340.0,5.6,,1035.9,,krasnoyarsk
2023-04-06,1.7,-9.6,12.2,,,195.0,12.3,,1019.4,,krasnoyarsk
2023-04-07,3.5,-6.3,9.1,,,270.0,14.1,,1007.8,,krasnoyarsk
2023-04-08,-7.1,-12.8,-1.2,,,311.0,8.1,,1017.5,,krasnoyarsk
2023-04-09,-4.9,-8.3,-2.1,,,238.0,20.1,,1011.3,,krasnoyarsk
2023-04-10,-2.3,-9.8,5.9,,,212.0,15.7,,1017.7,,krasnoyarsk
2023-04-11,4.5,-1.7,10.1,,,217.0,19.8,,1001.5,,krasnoyarsk
2023-04-12,-3.1,-5.7,-0.6,,,245.0,16.0,,1018.9,,krasnoyarsk
2023-04-13,2.9,-2.8,8.9,,,198.0,17.3,,1019.6,,krasnoyarsk
2023-04-14,2.5,-5.9,6.7,,,237.0,15.3,,1009.6,,krasnoyarsk
2023-04-15,-8.1,-12.7,-3.1,,,334.0,9.3,,1013.4,,krasnoyarsk
2023-04-16,-7.9,-17.3,0.0,,,97.0,5.0,,1012.8,,krasnoyarsk
2023-04-17,-1.3,-7.0,4.4,,,136.0,9.6,,1009.1,,krasnoyarsk
2023-04-18,-4.8,-8.1,-0.5,,,243.0,18.8,,1015.0,,krasnoyarsk
2023-04-19,-6.8,-11.5,-1.2,,,236.0,15.2,,1025.8,,krasnoyarsk
2023-04-20,-3.6,-6.5,0.0,,,231.0,11.6,,1027.1,,krasnoyarsk
2023-04-21,-0.5,-5.5,4.4,,,212.0,9.0,,1027.3,,krasnoyarsk
2023-04-22,3.7,-2.0,10.3,,,212.0,7.8,,1028.6,,krasnoyarsk
2023-04-23,4.9,-4.5,12.9,,,158.0,5.4,,1029.0,,krasnoyarsk
2023-04-24,8.1,-2.2,16.8,,,147.0,7.2,,1016.4,,krasnoyarsk
2023-04-25,4.4,-0.8,7.2,,,232.0,15.7,,1010.7,,krasnoyarsk
2023-04-26,1.4,-2.3,5.1,,,229.0,9.0,,1019.8,,krasnoyarsk
2023-04-27,5.1,-3.2,12.0,,,211.0,12.0,,1021.1,,krasnoyarsk
2023-04-28,11.3,6.7,17.6,,,206.0,14.1,,1010.3,,krasnoyarsk
